state,billID,link,year,title,status,lastAction,author,topics,summary
CA,CA S    629,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000S629&ciq=ncsl&client_md=17030f4a6401c5ab36c416f933822760&mode=current_text,2020,Public Peace: Media Access,Vetoed - Vetoed,09/30/2020 - Vetoed,"['McGuire (D)', 'Portantino (D)', 'Skinner (D)', 'Dodd (D)', 'Carrillo (D)', 'Wicks (D)', 'Gonzalez (D)', 'Hertzberg (D)', 'Hill (D)', 'Wiener (D)']",['Other Issues'],"Requires that a duly authorized representative of any news service, online news service, newspaper, or radio or television station or network be allowed to enter closed areas surrounding any emergency field command post. Prohibits a peace officer or other law enforcement officer from intentionally assaulting, interfering with, or obstructing a duly authorized representative who is gathering, receiving, or processing information for communication to the public."
CA,CA S    731,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000S731&ciq=ncsl&client_md=9fe956330caae99c1c9ae86163bf36e9&mode=current_text,2020,Peace Officers: Certification: Civil Rights,Failed - SENATE,8/25/2020,"['Bradford (D)', 'Mitchell (D)', 'Bonta (D)', 'Holden (D)', 'Stone (D)', 'Ting (D)', 'Weber (D)', 'Chiu (D)', 'McCarty (D)', 'Allen (D)', 'Kalra (D)', 'Dodd (D)', 'Wiener (D)', 'Kamlager-Dove (D)', 'Wicks (D)', 'Durazo (D)']","['Training', ' Certification', ' Oversight', ' Use of Force']",Eliminates certain immunity provisions for peace officers or public entities employing peace officers sued under the Tom Bane Civil Rights Act. Authorizes specified persons to bring an action for the death of a person caused by a violation of the Act. Grants the Commission on Peace Officer Standards and Training the power to investigate and determine the fitness of any person to serve as a peace officer in the state. Creates the Peace Officer Standards Accountability Division.
CA,CA A    767,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000A767&ciq=ncsl&client_md=822013f400aabb906edbe53261cf4b26&mode=current_text,2020,Victim Compensation: Use of Excessive Force,Failed - SENATE,8/3/2020,"['Grayson (D)', 'Bonta (D)', 'Wiener (D)', 'Garcia (D)', 'Weber (D)', 'Chiu (D)', 'Kamlager-Dove (D)', 'Wicks (D)']",['Other Issues'],"Revises the definition of crime to include any public offense regardless of whether any suspect is arrested or charged with the commission of the crime. Includes in the definition of crime the use of excessive force by a peace officer, regardless of whether the peace officer is arrested or charged with the commission of a crime or public offense. Recasts the factors that may be considered in determining whether a victim was involved in the events leading to the qualifying crime."
CA,CA S    776,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000S776&ciq=ncsl&client_md=515acd1e57c8c1e9a9330f1c96a5b157&mode=current_text,2020,Peace Officers: Release of Records,Failed - SENATE,8/30/2020,['Skinner (D)'],"['Oversight', ' Use of Force']","Makes every incident involving use of force to make a member of the public comply with an officer, force that is unreasonable, or excessive in force subject to disclosure, commencing on a specified date. Requires the retention of all complaints currently in the possession of a department or agency for a specified number of years, if they are related to a sustained finding of specified conduct."
CA,CA A    846,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000A846&ciq=ncsl&client_md=227780f67385ccd03ec5aeb7700f91de&mode=current_text,2020,Public Employment: Peace Officers,Enacted - Act No. 2020-322,09/30/2020 - Enacted,"['Burke (D)', 'Irwin (D)']",['Standards'],"Requires the evaluation of peace officers by a physician and surgeon, or psychologist, to include bias against race or ethnicity, gender, nationality, religion, disability, or sexual orientation. Requires every department or agency that employs peace officers to review the job descriptions used in the recruitment and hiring of those peace officers and to make changes that deemphasize the paramilitary aspects of the job and place more emphasis on community interaction and collaborative problem solving."
CA,CA A    1022,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000A1022&ciq=ncsl&client_md=d6f88a295e642bc0e75f104cd644a0ca&mode=current_text,2020,Peace Officers: Use of Force,Failed - SENATE,7/30/2020,"['Holden (D)', 'Mitchell (D)', 'Weber (D)', 'Burke (D)', 'Gipson (D)', 'Kamlager-Dove (D)', 'McCarty (D)']","['Oversight', ' Use of Force']","Requires each law enforcement agency to require officers to immediately report potential excessive force, and to intercede when present and observing an officer using excessive force. Disqualifies a person from being a peace officer if they have been found by a law enforcement agency that employees them to have either used excessive force that resulted in great bodily injury or death or to have failed to intercede in that incident as required by a law enforcement agency's policies."
CA,CA A    1185,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000A1185&ciq=ncsl&client_md=922c6a7acc870a91926b02d308dcad47&mode=current_text,2020,County Board Of Supervisors: Sheriff Oversight,Enacted - Act No. 2020-342,09/30/2020 - Enacted,"['McCarty (D)', 'Holden (D)', 'Burke (D)', 'Gipson (D)', 'Mitchell (D)']",['Oversight'],"Authorizes a county to establish a Sheriff Oversight Board to assist the Board of Supervisors with those duties as they relate to the Sheriff, either by action of the Board of Supervisors or through a vote of county residents. Authorizes the Chair of the Oversight Board and the Inspector General to issue a subpoena or subpoena duces tecum when deemed necessary to investigate a matter within their jurisdiction."
CA,CA A    1196,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000A1196&ciq=ncsl&client_md=7e70900694af8516078bc388c3923bf4&mode=current_text,2020,Peace Officers: Use of Force,Enacted - Act No. 2020-324,09/30/2020 - Enacted,"['Gipson (D)', 'Kalra (D)', 'Chang (R)', 'Umberg (D)', 'Low (D)', 'McCarty (D)', 'Allen (D)', 'McGuire (D)', 'Berman (D)', 'Cervantes (D)', 'Gloria (D)', 'Garcia E (D)', 'Reyes (D)', 'Dodd (D)', 'Stern (D)', 'Gabriel (D)', 'Bauer-Kahan (D)', 'Rivas R (D)', 'Archuleta (D)', 'Gonzalez (D)', 'Jones-Sawyer (D)', 'Beall (D)', 'Caballero']",['Use of Force'],Prohibits a law enforcement agency from authorizing the use of a carotid restraint or a choke hold.
CA,CA S    1220,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000S1220&ciq=ncsl&client_md=057ddf72bb8ac6fbecc83f9779c63352&mode=current_text,2020,Peace and Custodial Officers,Vetoed - Vetoed,09/30/2020 - Vetoed,['Umberg (D)'],"['Other Issues', ' Oversight']","Requires each prosecuting agency to maintain a Brady list. Requires any state or local law enforcement agency maintaining personnel records of peace officers and custodial officers to annually, to each prosecuting agency within its jurisdiction, and upon request to any prosecuting agency, provide a list of names and badge numbers of officers employed by the agency in the five years prior to providing the list who meet specified criteria."
CA,CA A    1299,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000A1299&ciq=ncsl&client_md=3609f21376a8b652542eaaed216489b2&mode=current_text,2020,Peace Officers: Employment,Vetoed - Vetoed,09/30/2020 - Vetoed,"['Salas (D)', 'Bates (R)', 'Caballero (D)', 'Jones (R)', 'Garcia (D)', 'Wilk (R)', 'Cunningham (R)', 'Gipson (D)']",['Training'],"Requires any agency that employs specified peace officers to provide a notification to the Commission on Peace Officer Standards and Training when a peace officer is terminated or, if an officer leaves the agency with a complaint, charge, or investigation of a serious nature pending. Requires the agency to complete the investigation as specified and notify the Commission of its findings."
CA,CA A    1314,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000A1314&ciq=ncsl&client_md=6975100c207ab546ac7a43909323005b&mode=current_text,2020,Law Enforcement Use of Force Settlements and Judgments,Failed - SENATE,6/26/2020,"['McCarty (D)', 'Holden (D)', 'Medina (D)', 'Allen (D)']","['Oversight', ' Use of Force']","Requires municipalities to annually post on their internet websites specified information relating to use of force settlements and judgments, including amounts paid, broken down by individual settlement and judgment, information on bonds used to finance use of force settlement and judgment payments, and premiums paid for insurance against use of force settlements or judgments."
CA,CA A    1472,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000A1472&ciq=ncsl&client_md=91373758bd27afa7438ac841fd79ff80&mode=current_text,2020,Personal Rights: False Reports to Law Enforcement,Failed - SENATE,7/14/2020,"['Stone (D)', 'Wieckowski (D)', 'Jones-Sawyer (D)']",['Other Issues'],"Creates an additional exception to the privilege provisions for any communication between a person and a law enforcement agency in which the person knowingly or recklessly makes a false report that another person has committed, or is in the act of committing, a criminal act or is engaged in an activity requiring law enforcement intervention. Specifies that intimidation by threat of violence includes knowingly or recklessly making or threatening to make a false claim or report to law enforcement."
CA,CA A    1506,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000A1506&ciq=ncsl&client_md=9c721cfa7f82ba0fab015089f5bc4997&mode=current_text,2020,Police Use of Force,Enacted - Act No. 2020-326,09/30/2020 - Enacted,"['McCarty (D)', 'Low (D)', 'Stern (D)', 'Gipson (D)', 'Santiago (D)', 'Allen (D)', 'Berman (D)', 'Friedman (D)', 'Gloria (D)', 'Grayson (D)', 'Kalra (D)', 'Reyes (D)', 'Dodd (D)', 'Chu (D)', 'Wiener (D)', 'Carrillo (D)', 'Rivas (D)', 'Kamlager-Dove (D)', 'Gabriel (D)', 'Bauer-Kahan (D)', 'Rivas R (D)', 'Wicks (D)', 'Durazo (D)', 'Gonzal']","['Oversight', ' Use of Force']",Requires a state prosecutor to investigate incidents of an officer involved shooting resulting in the death of an unarmed civilian. Makes the Attorney General the state prosecutor unless otherwise specified or named. Authorizes the state prosecutor to prepare a written report and to post any reports made on a public internet website. Requires the Attorney General to operate a Police Practices Division to review the use of deadly force policies of a requesting law enforcement agency.
CA,CA A    1652,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000A1652&ciq=ncsl&client_md=fb735b57dad7058759405a2586775b98&mode=current_text,2020,Law Enforcement Agency Policies: Use of Force: Protests,Failed - SENATE,6/29/2020,['Wicks (D)'],"['Training', ' Other Issues', ' Use of Force']","Requires each law enforcement agency to expand the agency's use of force policy to include clear and specific guidelines under which officers may use kettling or corralling and to prohibit officers from failing to wear, or intentionally acting to obscure or conceal information on, a badge while on duty. Authorizes a person who is detained or arrested for engaging in an act that is exempt as described to recover damage for being detained or arrested in violation of agency policies for use of force."
CA,CA A    1709,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000A1709&ciq=ncsl&client_md=851d08e4010fdb142b9f1d5cbf992ba7&mode=current_text,2020,Law Enforcement: Use of Force,Failed - SENATE,7/21/2020,"['Weber (D)', 'Jones-Sawyer (D)']",['Use of Force'],"Removes the specification that a peace officer making an arrest need not desist in their efforts because of resistance or threatened resistance from the person being arrested. Requires a peace officer to attempt to control an incident through deescalation tactics in an effort to reduce or avoid the need to use force, to render medical aid immediately or as soon as feasible, and to intervene to stop a violation of law or an excessive use of force by another peace officer. Defines the term necessary."
CA,CA A    1775,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000A1775&ciq=ncsl&client_md=473327aaf9345f9dd8794c876819d88a&mode=current_text,2020,False Reports and Harassment,Enacted - Act No. 2020-327,09/30/2020 - Enacted,"['Jones-Sawyer (D)', 'Umberg (D)', 'Portantino (D)', 'Wieckowski (D)', 'Garcia (D)', 'Gonzalez (D)', 'Gipson (D)', 'McCarty (D)', 'Santiago (D)', 'Skinner (D)', 'Bonta (D)', 'Stone (D)']",['Other Issues'],Creates an exception of protection from civil action the privilege provisions for any communication between a person and a law enforcement agency in the person makes a false report. Provides that intimidation by threat of violence includes knowingly or recklessly making or threatening to make a false claim or report to a peace officer or law enforcement agency alleging that another person has engaged in unlawful activity or in an activity that requires law enforcement intervention.
CA,CA A    3099,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000A3099&ciq=ncsl&client_md=8e3f43bf61a0e41acda80a877ffb3e00&mode=current_text,2020,Department of Justice: Law Enforcement Assistance,Enacted - Act No. 2020-170,09/25/2020 - Enacted,['Ramos (D)'],['Standards'],"Amends existing law relating to the Rural Indian Crime Prevention Program. Requires the Department of Justice to provide technical assistance to local law enforcement agencies and tribal governments with Indian lands, relating to tribal issues, including providing guidance for law enforcement education and training on policing and criminal investigations on Indian lands, providing guidance on improving crime reporting, crime statistics, criminal procedures, and investigative tools. Requires a study."
CO,CO S    62,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CO2021000S62&ciq=ncsl&client_md=cab3bed861fc9f8abdfa5483608b8ac7&mode=current_text,2021,Jail Population Management Tools,Pending - Senate Appropriations Committee,2/16/2021,"['Lee (D)', 'Benavidez (D)']",['Policing Alternatives and Collaboration'],Concerns measures to reduce jail populations.
CO,CO S    174,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CO2021000S174&ciq=ncsl&client_md=107fb273eeca5657b584a39ff52a111c&mode=current_text,2021,Policies For Peace Officer Credibility Disclosures,Pending - SENATE,3/5/2021,"['Cooke (R)', 'Ginal (D)', 'Carver (R)', 'Bird (D)']","['Investigations and Discipline', ' Other Issues']",Concerns adoption of written policies by law enforcement agencies for constitutionally required peace officer credibility disclosure notifications.
CO,CO S    183,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CO2021000S183&ciq=ncsl&client_md=70c4e83cf5627782d23cc445aac16a0f&mode=current_text,2021,Law Enforcement Support And Accountability,"Pending - Senate State, Veterans, and Military Affairs Committee",3/16/2021,['Lundeen (R)'],"['Investigations and Discipline', ' Other Issues', ' Technology', ' Use of Force', ' Data and Transparency', ' Decertification', ' Standards']",Concerns the modification of measures to ensure law enforcement accountability.
CO,CO H    1030,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CO2021000H1030&ciq=ncsl&client_md=cedfaa4963b0072801adc0ee0261d1a8&mode=current_text,2021,Peace Officers Mental Health Grant Program,Pending - House Appropriations Committee,2/16/2021,"['McCluskie (D)', 'Cooke (R)', 'McKean (R)', 'Buckner (D)']","['Policing Alternatives and Collaboration', ' Officer Safety and Wellbeing']",Concerns expanding the peace officers mental health support grant program to include community partnerships.
CO,CO H    1122,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CO2021000H1122&ciq=ncsl&client_md=cc4ccbcb02f873faee31a3660d1c0460&mode=current_text,2021,First Responder Interactions Persons With Disabilities,Pending - Senate Appropriations Committee,4/16/2021,"['Froelich (D)', 'Larson (R)', 'Kolker (D)']","['Policing Alternatives and Collaboration', ' Oversight']","Concerns establishing a commission to improve first responder interactions with persons with disabilities, makes an appropriation."
CO,CO H    1182,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CO2021000H1182&ciq=ncsl&client_md=0fa28384c31d0749be925a00d0c35165&mode=current_text,2021,Missing Child Emergency Electronic Location Information,Pending - Postponed Indefinitely,3/4/2021,"['Lynch (R)', 'Cooke (R)']",['Technology'],Concerns law enforcement's acquisition of location information of a missing child's telecommunications device in an emergency situation.
CO,CO H    1250,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CO2021000H1250&ciq=ncsl&client_md=9907874bca5af0a61b5bcab9268f0c37&mode=current_text,2021,Measures to Address Law Enforcement Accountability,Pending - House Appropriations Committee,3/30/2021,"['Herod (D)', 'Gonzales-Gutier (D)']","['Employment and Labor', ' Investigations and Discipline', ' Use of Force', ' Data and Transparency', ' Decertification', ' Standards']",Concerns measures to address law enforcement accountability.
CO,CO S    217,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CO2020000S217&ciq=ncsl&client_md=a9edf9219237f08bf764cffd5777acb5&mode=current_text,2020,Enhance Law Enforcement Integrity,Enacted - Act No. 110,06/19/2020 - Enacted,"['Garcia (D)', 'Fields (D)', 'Herod (D)', 'Gonzales-Gutier (D)']","['Training', ' Certification', ' Other Issues', ' Oversight', ' Technology', ' Use of Force']","Concerns measures to enhance law enforcement integrity, makes an appropriation."
CO,CO H    1375,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CO2020000H1375&ciq=ncsl&client_md=983a87c2ae597f190136e7bce368436d&mode=current_text,2020,Repeal Law Enforcement Grant Appropriation Roll Forward,Enacted - Act No. 123,06/24/2020 - Enacted,"['Ransom (R)', 'Rankin (R)', 'Zenzinger (D)']",['Other Issues'],Concerns the repeal of the authority for the Division of Criminal Justice to expend an unused appropriation for the law enforcement grant program in the next fiscal year without further appropriation.
CO,CO H    1393,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CO2020000H1393&ciq=ncsl&client_md=8487d449be15f189c44775017bc607a4&mode=current_text,2020,Mental Health Diversion Pilot Program,Enacted - Act No. 212,06/30/2020 - Enacted,"['Esgar (D)', 'Rankin (R)', 'Zenzinger (D)', 'McCluskie (D)']",['Policing Alternatives and Collaboration'],Expands the Mental Health Diversion Pilot Programs to include more judicial districts.
CT,CT S    120,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000S120&ciq=ncsl&client_md=ac65ab8bd08aad5f18ac2280deadc7ad&mode=current_text,2021,Religious Head Coverings As Part Of a Police Uniform,Pending - SENATE,4/6/2021,"['Duff (D)', 'Osten (D)', 'Anwar (D)']",['Employment and Labor'],Allows police officers to wear religious head coverings as part of a police uniform.
CT,CT S    126,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000S126&ciq=ncsl&client_md=4bcf04064b17bbf1e57059d0e4367f66&mode=current_text,2021,Law Enforcement Unit Accreditation and Standards,Failed - Died,1/12/2021,"['Anwar (D)', 'Meskers (D)']",['Standards'],"Concerns law enforcement unit accreditation and standards, allows law enforcement units to comply with either the standards of the Police Officer Standards and Training Council or the Commission on Accreditation for Law Enforcement Agencies."
CT,CT S    396,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000S396&ciq=ncsl&client_md=c9e424213ad78f07f0f763e02ea902e7&mode=current_text,2021,Track and Trace Cellular Phones,Failed - Died,1/26/2021,['Cohen (D)'],['Technology'],Allows law enforcement the ability to track and trace a cellular phone of an eighteen to twenty-year-old who is believed to be in distress or danger and still living dependently in the home of a parent or guardian.
CT,CT S    537,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000S537&ciq=ncsl&client_md=f2327abba2a0e60f4f124ecd7441e69e&mode=current_text,2021,Police Accountability Act,Failed - Died,1/27/2021,['Sampson (R)'],['Use of Force'],"Repeals certain provisions of PA 20-1 of the July special session, also known as the Police Accountability Act, repeals certain restrictions on law enforcement and protect officers and municipalities from frivolous lawsuits."
CT,CT S    572,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000S572&ciq=ncsl&client_md=3012285fe991a1e67d91d6528098ba1b&mode=current_text,2021,Community Crisis Response Teams and Reentry Centers,Pending - Joint Committee on Appropriations,4/12/2021,['Looney (D)'],['Policing Alternatives and Collaboration'],"Concerns community crisis response teams, reentry centers and police officer training."
CT,CT S    775,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000S775&ciq=ncsl&client_md=167b9464f09b8601d9fd823a2a79a6fd&mode=current_text,2021,Police Accountability Act,Failed - Died,1/29/2021,['Kelly (R)'],['Use of Force'],"Makes revisions to public act 20-1 of the July special session, known as the Police Accountability Act."
CT,CT S    778,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000S778&ciq=ncsl&client_md=04cd602bb333c7913f0c02ae6aed8a6a&mode=current_text,2021,Study of the Impact of Police Accountability Measures,Failed - Died,1/29/2021,['Somers (R)'],['Oversight'],"Studies the impact of Public Act 20-1, an Act Concerning Police Accountability, on municipalities."
CT,CT S    781,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000S781&ciq=ncsl&client_md=a05c90d997a504b97d86b1b595d4ef03&mode=current_text,2021,Study of the Crisis Intervention Training,Failed - Died,1/28/2021,['Cohen (D)'],"['Training', ' Policing Alternatives and Collaboration', ' Oversight']","Requires a study of the crisis intervention training required by the state police academy and police officer standards and training council, recognizes that incidences related to mental health are on the rise and to provide law enforcement officers with the tools they need for mental health awareness and crisis intervention."
CT,CT S    783,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000S783&ciq=ncsl&client_md=8be0e2fa058f13c215b4838d8d72a573&mode=current_text,2021,Elected and Appointed Constables,Failed - Died,1/28/2021,['Kissel (R)'],['Other Issues'],"Concerns elected and appointed constables as law enforcement officials during a state or national emergency, allows constables to be classified as law enforcement during state and national emergencies for certain purposes."
CT,CT S    784,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000S784&ciq=ncsl&client_md=9dfcfb6753008b8a230d65f1f207a792&mode=current_text,2021,Police Officer Standards and Training Council,Failed - Died,1/28/2021,['Somers (R)'],"['Training', ' Use of Force', ' Standards']","Allows the Police Officer Standards and Training Council to create a standardized state wide curriculum, protects against frivolous lawsuits, allows public safety officials to enforce laws and confiscate illegal drugs and weapons, creates a working reasonableness standard for the use of force by police officers, sufficiently prepare municipalities, insurers and insured."
CT,CT S    828,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000S828&ciq=ncsl&client_md=8842ea3bb6027c8e2c0d0c941c920971&mode=current_text,2021,Police Accountability Act,Failed - Died,2/3/2021,['Osten (D)'],['Use of Force'],Makes changes to the Police Accountability Act.
CT,CT S    892,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000S892&ciq=ncsl&client_md=2782c43775902a797644e6443e7b7b8a&mode=current_text,2021,Criminal Justice Commission Division,Pending - HOUSE,4/15/2021,['Joint Judiciary'],"['Investigations and Discipline', ' Oversight']","Concerns the Criminal Justice Commission, Division of Criminal Justice and the Office of the Inspector General, makes minor changes to the process of appointments, reviews and evaluations by the Criminal Justice Commission including concerning the appointment of the Inspector General, the membership of the Division of Criminal Justice Advisory Board, and the process by which use of force by a peace officer is investigated."
CT,CT S    939,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000S939&ciq=ncsl&client_md=d50a6b00d463ed70d3255a41573f0627&mode=current_text,2021,Immunity From Civil Liability,Pending - SENATE,4/26/2021,['Joint Judiciary'],['Use of Force'],"Provides immunity to a physician who accompanies and assists a state, regional or municipal swat team."
CT,CT S    1009,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000S1009&ciq=ncsl&client_md=4f6210e763e3166e7809114cd014749b&mode=current_text,2021,Social Media Policies for Police Departments,Pending - SENATE,4/6/2021,['Joint Public Safety and Security'],"['Employment and Labor', ' Technology', ' Standards']","Requires social media policies for police departments, requires the Police Officer Standards and Training Council to develop a model social media policy for police departments and to require police departments to adopt such model policy or a policy with higher standards."
CT,CT S    1010,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000S1010&ciq=ncsl&client_md=65bfc220a37e85fe07d9096306afb01e&mode=current_text,2021,Use of Mobile Telephones By Emergency Personnel,Failed - Died,3/4/2021,['Joint Public Safety and Security'],['Technology'],"Concerns the use of mobile telephones by emergency personnel, prohibits emergency personnel from using a hand-held mobile telephone when operating a motor vehicle upon a highway, and a state police officer from using a mobile telephone when providing police services for private contractors at highway construction sites."
CT,CT S    1011,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000S1011&ciq=ncsl&client_md=1cbf4ad48d6f6da12edf56a529b40c12&mode=current_text,2021,Use of Opioid Antagonists,Pending - SENATE,4/6/2021,['Joint Public Safety and Security'],"['Training', ' Policing Alternatives and Collaboration']","Concerns the use of opioid antagonists and epinephrine cartridge injectors by police officers, requires a law enforcement unit to train its police officers in the use of opioid antagonists and epinephrine cartridge injectors, and permit such trained officers to carry and administer opioid antagonists and epinephrine cartridge injectors."
CT,CT S    1093,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000S1093&ciq=ncsl&client_md=0c7db4e38eda76978667c78f857d5ae1&mode=current_text,2021,Civilian Police Review Boards Worn,Pending - SENATE,4/22/2021,['Joint Judiciary'],"['Other Issues', ' Oversight', ' Technology']","Concerning civilian police review boards, security guards, body-worn recording equipment and searches by police, provides that the person to whom such subpoena is issued may, not later than fifteen days after service of such subpoena, or on or before the time specified in the subpoena for compliance if such time is less than fifteen days after service."
CT,CT H    5052,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000H5052&ciq=ncsl&client_md=3d8c0b19663cac08061daef2ac783f11&mode=current_text,2021,Deprivation of Constitutional Rights,Failed - Died,1/11/2021,['Rebimbas (R)'],['Use of Force'],"Concerns the deprivation of constitutional rights by state elected officials, ensures state elected officials are held to the same standard as police officers in protecting the Constitutional rights of state residents."
CT,CT H    5078,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000H5078&ciq=ncsl&client_md=c6f052984259abfabb4873f4686d3791&mode=current_text,2021,Opioid Overdose Response,Failed - Died,1/11/2021,['Buckbee (R)'],"['Policing Alternatives and Collaboration', ' Technology']","Concerns a study of technology that police officers, firefighters and emergency medical services personnel may use when responding to opioid overdoses."
CT,CT H    5079,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000H5079&ciq=ncsl&client_md=32aaa93021a9e5ab11d66fe02c9e9b1c&mode=current_text,2021,Number Plate Scanning Technology,Failed - Died,1/11/2021,['Fishbein (R)'],['Technology'],Protects state residents from an unreasonably long retention of information collected by law enforcement units using infrared number plate scanning technology.
CT,CT H    5098,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000H5098&ciq=ncsl&client_md=ef9745bd88653222cc647e1dfa588fb4&mode=current_text,2021,Training and Liability of Lake Patrolmen,Failed - Died,1/12/2021,['Callahan (R)'],"['Training', ' Other Issues']","Concerns the training and liability of lake patrolmen, ensures lake patrolmen receive adequate training to protect themselves and properly enforce boating Laws."
CT,CT H    5162,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000H5162&ciq=ncsl&client_md=7adf56d261050260f4a3c765bc12c025&mode=current_text,2021,Opioid Abuse and Addiction,Failed - Died,1/13/2021,['Green (R)'],['Policing Alternatives and Collaboration'],"Creates a partnership between the Division of State Police, the Department of Mental Health and Addiction Services and mental health authorities regarding care of people addicted to opioids, combats opioid abuse and addiction."
CT,CT H    5163,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000H5163&ciq=ncsl&client_md=940a91a138abb2f12eb5f994e9caf7de&mode=current_text,2021,State Wide Policy for Pursuits by Police Officers,Failed - Died,1/13/2021,['Green (R)'],['Standards'],Allows police officers to more effectively apprehend a person suspected of stealing a motor vehicle.
CT,CT H    5179,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000H5179&ciq=ncsl&client_md=a8d19e49a2a45517e49fc63ace580120&mode=current_text,2021,Task Force to Study Use of Global Positioning Systems,Failed - Died,1/15/2021,['Buckbee (R)'],['Technology'],Creates a task force to study the use of global positioning systems and other technologies in order to track drug overdoses and assist first responders.
CT,CT H    5192,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000H5192&ciq=ncsl&client_md=2d4d4de46bd54e109b7bd36ffba8c643&mode=current_text,2021,Off Duty Police Officers and Firearms,Failed - Died,1/15/2021,['Fishbein (R)'],['Other Issues'],Allows off-duty police officers to carry firearms used in the performance of official duties on school grounds.
CT,CT H    5411,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000H5411&ciq=ncsl&client_md=352d851862c334dfc377535e2b14e8b1&mode=current_text,2021,Federal 1033 Program,Failed - Died,1/21/2021,['Ferraro (R)'],['Other Issues'],"Allows municipal law enforcement's continued access to the federal 1033 program for emergency response, relief and rescue services."
CT,CT H    5569,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000H5569&ciq=ncsl&client_md=abf893a45cbbeff7f54e66b5ef8199f5&mode=current_text,2021,Transportation of Police Dogs By Ambulance,Failed - Died,1/25/2021,['Hampton (D)'],['Other Issues'],Provides for the safety and well-being of police dogs by allowing an ambulance to transport a police dog injured in the line of duty and in need of emergency medical care to a veterinary clinic or similar facility if there are no individuals in need of transportation or emergency assistance.
CT,CT H    5583,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000H5583&ciq=ncsl&client_md=f4fe43f1d1a31af2a1d9a7d59b57caea&mode=current_text,2021,Emergency Intervention By a Police Officer,Failed - Died,1/25/2021,['Hall (R)'],['Policing Alternatives and Collaboration'],"Concerns emergency intervention by a police officer when a person suffers an overdose, allows a police officer to take a person into custody when the officer has reasonable cause to believe that such person is experiencing a drug overdose."
